Trials,pb_parity_trn,pb_parity_tst,my_parity_trn,my_parity_tst,pb_iris_trn,pb_iris_tst,my_iris_trn,my_iris_tst
0,0,1.3333333333,5.3333333333,46.6666666667,34.6666666667,32,33.3333333333,69.3333333333
1,0,1.3333333333,5.3333333333,46.6666666667,28,38.6666666667,9.3333333333,68
2,6.6666666667,1.3333333333,5.3333333333,49.3333333333,4,4,33.3333333333,64
3,9.3333333333,1.3333333333,5.3333333333,46.6666666667,5.3333333333,2.6666666667,4,68
4,5.3333333333,1.3333333333,5.3333333333,49.3333333333,5.3333333333,5.3333333333,4,68
5,12,1.3333333333,5.3333333333,45.3333333333,28,38.6666666667,33.3333333333,69.3333333333
6,9.3333333333,1.3333333333,5.3333333333,46.6666666667,30.6666666667,36,9.3333333333,69.3333333333
7,13.3333333333,1.3333333333,5.3333333333,45.3333333333,33.3333333333,33.3333333333,6.6666666667,66.6666666667
8,0,1.3333333333,13.3333333333,48,32,34.6666666667,8,66.6666666667
9,0,1.3333333333,6.6666666667,42.6666666667,4,6.6666666667,5.3333333333,66.6666666667
10,12,1.3333333333,5.3333333333,46.6666666667,26.6666666667,40,33.3333333333,66.6666666667
11,4,1.3333333333,6.6666666667,42.6666666667,0,8,33.3333333333,66.6666666667
12,9.3333333333,1.3333333333,5.3333333333,49.3333333333,2.6666666667,5.3333333333,29.3333333333,66.6666666667
13,8,1.3333333333,6.6666666667,46.6666666667,26.6666666667,40,33.3333333333,66.6666666667
14,6.6666666667,1.3333333333,5.3333333333,46.6666666667,33.3333333333,33.3333333333,6.6666666667,68
15,22.6666666667,1.3333333333,5.3333333333,45.3333333333,34.6666666667,34.6666666667,33.3333333333,64
16,0,1.3333333333,5.3333333333,46.6666666667,32,34.6666666667,5.3333333333,66.6666666667
17,5.3333333333,1.3333333333,5.3333333333,46.6666666667,30.6666666667,36,6.6666666667,69.3333333333
18,6.6666666667,1.3333333333,10.6666666667,44,30.6666666667,36,5.3333333333,68
19,14.6666666667,1.3333333333,6.6666666667,42.6666666667,34.6666666667,32,5.3333333333,66.6666666667
